Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
57299301,"The North Wind (The Four Winds, #1)",Alexandria Warwick,"Warwick, Alexandria",,1733033467,9781733033466,0,3.72,Andromeda Press,Hardcover,551,2022,2022,,11/7/2022,to-read,to-read (#135),to-read,,,,0,0
61037051,"The Last Daughter (The Last Daughter, #1)",Alexis L. Menard,"Menard, Alexis L.",,9781958673,9781958673034,0,3.73,Midnight Tide Publishing,Paperback,412,2022,2022,,11/6/2022,to-read,to-read (#127),to-read,,,,0,0
56732449,The Love Hypothesis,Ali Hazelwood,"Hazelwood, Ali",,0593336828,9780593336823,3,4.17,Berkley Books,Paperback,383,2021,2021,12/3/2021,9/16/2021,2021,2021 (#29),read,"3.5 ⭐️<br/>Probably would have been higher had there actually been an I love you scene. Definitely higher. Otherwise it was a cute grump/sunshine and fake dating trope. Didn’t expect the scene with Tom Belton honestly. As cute as it is, I don’t think it’s a reread worthy. Honestly, I found it a bit overhyped.",,,1,0
62337113,The Bookstore Sisters,Alice Hoffman,"Hoffman, Alice",,1662510500,,0,4.05,Amazon Original Stories,Kindle Edition,36,2022,2022,,11/15/2022,to-read,to-read (#157),to-read,,,,0,0
56060300,"Heartstopper: Volume Four (Heartstopper, #4)",Alice Oseman,"Oseman, Alice",,1338617567,9781338617566,4,4.62,Graphix,Hardcover,384,2022,2021,7/5/2022,7/5/2022,2022,2022 (#51),read,,,,1,0
40495957,"Heartstopper: Volume One (Heartstopper, #1)",Alice Oseman,"Oseman, Alice",,152722533X,9781527225336,4,4.49,Selfpublished,Paperback,288,2018,2018,7/2/2022,7/2/2022,2022,2022 (#47),read,,,,1,0
43449920,"Heartstopper: Volume Three (Heartstopper, #3)",Alice Oseman,"Oseman, Alice",,,,4,4.59,Hodder Children's Books,Paperback,384,2020,2020,7/5/2022,7/3/2022,2022,2022 (#50),read,,,,1,0
43307358,"Heartstopper: Volume Two (Heartstopper, #2)",Alice Oseman,"Oseman, Alice",,1444951408,9781444951400,4,4.56,Hodder Children's Books,Paperback,320,2019,2019,7/2/2022,7/2/2022,2022,2022 (#49),read,,,,1,0
536,The Lovely Bones,Alice Sebold,"Sebold, Alice",,,,2,3.85,Random House,Paperback,327,2006,2002,10/5/2022,9/1/2020,"2022, owned","2022 (#80), owned (#67)",read,,,,1,0
49504061,The Once and Future Witches,Alix E. Harrow,"Harrow, Alix E.",,0316422045,9780316422048,0,4.05,Redhook,Hardcover,517,2020,2020,,7/22/2022,to-read,to-read (#71),to-read,,,,0,0
27015399,"A Promise of Fire (Kingmaker Chronicles, #1)",Amanda Bouchet,"Bouchet, Amanda",,1492626015,9781492626015,0,4,Sourcebooks Casablanca,Mass Market Paperback,441,2016,2016,,11/6/2022,to-read,to-read (#125),to-read,,,,0,0
59645282,"A Promise of Fire (Kingmaker Chronicles, #1)",Amanda Bouchet,"Bouchet, Amanda",,1728251133,9781728251134,0,4,Sourcebooks Casablanca,Paperback,445,2022,2016,,11/6/2022,to-read,to-read (#111),to-read,,,,0,0
30238163,"Ace of Shades (The Shadow Game, #1)",Amanda Foody,"Foody, Amanda",,1335692290,9781335692290,0,3.85,Harlequin Teen,Hardcover,411,2018,2018,,11/15/2022,to-read,to-read (#156),to-read,,,,0,0
